name,room,address,city,state,zipCode,latitude,longitude,isEarlyVotingLocation,isVotingDayLocation
Eastfield College - Pleasant Grove Campus,Rm 108,802 S Buckner Blvd,Dallas,TX,75217,32.796698,-96.683316,FALSE,TRUE
W W Samuell High School,Entrance Foyer,8928 Palisade Dr,Dallas,TX,75217,32.74591635,-96.66775983,FALSE,TRUE
Ymla @ Florence Middle School,Auditorium,1625 N Masters Dr,Dallas,TX,75217,32.7411776,-96.65022129,FALSE,TRUE
E B Comstock Middle School,Auditorium,7044 Hodde St,Dallas,TX,75217,32.72137055,-96.70212041,FALSE,TRUE
Pleasant Grove Library,Black Box Theater,7310 Lake June Rd,Dallas,TX,75217,32.73457918,-96.69440577,FALSE,TRUE
B H Macon Elem School,Auditorium,650 Holcomb Rd,Dallas,TX,75217,32.7223714,-96.67328261,FALSE,TRUE
William Anderson Elem Sch,Auditorium,620 N St Augustine Rd,Dallas,TX,75217,32.7216838,-96.65507635,FALSE,TRUE
Richard Lagow Elem School,Main Lobby,637 Edgeworth Dr,Dallas,TX,75217,32.70248875,-96.63674297,FALSE,TRUE
H Grady Spruce High School,Auditorium,9733 Old Seagoville Rd,Dallas,TX,75217,32.70983055,-96.65326633,FALSE,TRUE
Fireside Recreation Center,Lg Gym,8601 Fireside,Dallas,TX,75217,32.697982,-96.671675,FALSE,TRUE
Edwin J Kiest Elem School,Auditorium,2611 Healey Dr,Dallas,TX,75228,32.82604985,-96.66973593,FALSE,TRUE
Ignite Middle School,Main Entrance,2211 Caddo St,Dallas,TX,75204,32.8015818,-96.78958174,FALSE,TRUE
St Luke Comm Un. Meth Chur,Fellowship Hall,5710 E R L Thornton Frwy,Dallas,TX,75223,32.7917,-96.742012,FALSE,TRUE
Solar Preparatory School For Boys,Auditorium,1802 Moser Ave,Dallas,TX,75206,32.80933755,-96.77320043,FALSE,TRUE
Living Waters Church Of God,Fellowship Hall 005,11110 Shiloh Rd,Dallas,TX,75228,32.84744165,-96.66606231,FALSE,TRUE
Lake Highlands High School,Auditorium Foyer,9449 Church Rd,Dallas,TX,75238,32.88642585,-96.72850429,FALSE,TRUE
Forester Field House,Main Lobby,8233 Military Pkwy,Dallas,TX,75227,32.77117095,-96.67562637,FALSE,TRUE
Ed Vanston Middle School,Classroom C6,3230 Karla Dr,Mesquite,TX,75150,32.82770055,-96.64554175,FALSE,TRUE
Florence Recreation Center,Event Center,2501 Whitson Way,Mesquite,TX,75150,32.82824494,-96.63687502,FALSE,TRUE
Vernon Price Elem School,Cafeteria,630 Stroud Ln,Garland,TX,75043,32.84736075,-96.62367935,FALSE,TRUE
Eastfield College - Main Campus,C Bldg - Admissions Foyer,3737 Motley Dr,Mesquite,TX,75150,32.81882545,-96.65861605,FALSE,TRUE
Goodbar Recreation Center,Main Room,3000 Concord Dr,Mesquite,TX,75150,32.80996124,-96.64371895,FALSE,TRUE
Zack Motley Elem School,Portable 119,3719 Moon Dr,Mesquite,TX,75150,32.8189523,-96.65436193,FALSE,TRUE
Range Elem School,Library,4060 Emerald Dr,Mesquite,TX,75150,32.80094857,-96.6596435,FALSE,TRUE
Tosch Elem School,Library,2424 Larchmont Dr,Mesquite,TX,75150,32.799388,-96.6372061,FALSE,TRUE
J C Rugel Elem School,Cafeteria,2701 Sybil Dr,Mesquite,TX,75149,32.78452855,-96.63813378,FALSE,TRUE
Galloway Elem School,Entrance Foyer,200 Clary Dr,Mesquite,TX,75149,32.77064115,-96.63555654,FALSE,TRUE
Mesquite Convention Center,Exhibit Hall,1700 Rodeo Dr,Mesquite,TX,75149,32.76219935,-96.62351426,FALSE,TRUE
West Mesquite High School,Front Entrance - West Foyer,2500 Memorial Pkwy,Mesquite,TX,75149,32.761535,-96.635608,FALSE,TRUE
Dover Elem School,Gym,700 Dover Dr,Richardson,TX,75080,32.9444222,-96.76004246,FALSE,TRUE
Professional Development Ctr - RISD,C101A,701 W Belt Line Rd,Richardson,TX,75080,32.950803,-96.735238,FALSE,TRUE
Math/Science Technology Magnet - RISD,Gym Lobby,450 Abrams Rd,Richardson,TX,75081,32.9443214,-96.72676601,FALSE,TRUE
Richland Elem School,Gym,550 Park Bend Dr,Richardson,TX,75081,32.9323702,-96.72690871,FALSE,TRUE
Bradfield Rec Center,Classroom 110,1146 Castle Dr,Garland,TX,75040,32.92220942,-96.61823637,FALSE,TRUE
Bussey Middle School,"Choir Room, 224",1204 Travis St,Garland,TX,75040,32.92431917,-96.64570007,FALSE,TRUE
Golden Meadows Elem School,Front Foyer,1726 Travis St,Garland,TX,75042,32.92436655,-96.65423049,FALSE,TRUE
A R Davis Elem School,Hallway,1621 McCallum Dr,Garland,TX,75042,32.927861,-96.676172,FALSE,TRUE
O. Henry Elementary School,Cafeteria,4100 Tynes Dr,Garland,TX,75042,32.92656205,-96.69378457,FALSE,TRUE
Bradfield Elem School - Gisd,Gym,3817 Bucknell Dr,Garland,TX,75042,32.92151425,-96.68939838,FALSE,TRUE
Richland College - Garland Campus,Conference Rm C,675 W Walnut St,Garland,TX,75040,32.9163161,-96.63767179,FALSE,TRUE
Austin Academy,Gym,1125 Beverly Dr,Garland,TX,75040,32.89726299,-96.6173147,FALSE,TRUE
Kimberlin Academy,"Library, Rm 202",1520 Cumberland Dr,Garland,TX,75040,32.89891268,-96.62623428,FALSE,TRUE
Granger Recreation Center,Rm 109,1310 W Ave F,Garland,TX,75040,32.90678633,-96.64649102,FALSE,TRUE
Williams Elem School,Gym,1821 Old Gate Ln,Garland,TX,75042,32.89695093,-96.65552125,FALSE,TRUE
Memorial Pathway Academy,Gym,2825 S First St,Garland,TX,75041,32.882975,-96.631805,FALSE,TRUE
Watson Technology Center,Gym,2601 Dairy Rd,Garland,TX,75041,32.88547363,-96.62207388,FALSE,TRUE
South Garland High School,Gym,600 Colonel Dr,Garland,TX,75043,32.87261425,-96.61975433,FALSE,TRUE
Classical Center @ Brandenburg Ms,Gym,626 Nickens Rd,Garland,TX,75043,32.86728859,-96.61267156,FALSE,TRUE
Southgate Elem School,Gym,1115 Mayfield Ave,Garland,TX,75041,32.86874055,-96.64409466,FALSE,TRUE
Montclair Elem School,Gym,5200 Broadmoor Dr,Garland,TX,75043,32.85392,-96.639049,FALSE,TRUE
O'Banion Middle School,Gym,700 Birchwood Dr,Garland,TX,75043,32.85758635,-96.63478231,FALSE,TRUE
Classical Center At Vial Elem School,Gym,126 Creekview Dr,Garland,TX,75043,32.84967281,-96.60741495,FALSE,TRUE
South Garland Branch Library,Program Rm,4845 Broadway Blvd,Garland,TX,75043,32.85523065,-96.60248573,FALSE,TRUE
Routh Roach Elem School,Gym,1811 Mayfield Ave,Garland,TX,75041,32.86672438,-96.65466993,FALSE,TRUE
Granville Arts Center,The Atruim,300 N 5Th St,Garland,TX,75046,32.914793,-96.635564,FALSE,TRUE
Sam Houston Middle School,Gym,2232 Sussex Dr,Garland,TX,75041,32.88847116,-96.66158774,FALSE,TRUE
Thomas C Marsh Preparatory Academy,Auditorium,3838 Crown Shore Dr,Dallas,TX,75244,32.9114991,-96.8491192,FALSE,TRUE
W T White High School,"H101, 102, 103",4505 Ridgeside Dr,Dallas,TX,75244,32.9168546,-96.83171102,FALSE,TRUE
Nathan Adams Elem School,Auditorium,12600 Welch Rd,Dallas,TX,75244,32.9214988,-96.82830872,FALSE,TRUE
Marsh Lane Baptist Church,Fellowship Hall,10716 Marsh Lane,Dallas,TX,75229,32.89418425,-96.85559502,FALSE,TRUE
Harry C Withers Elem School,Auditorium,3959 Northaven Rd,Dallas,TX,75229,32.9032527,-96.8458821,FALSE,TRUE
Midway Hills Christian Church,Gathering Area,11001 Midway Rd,Dallas,TX,75229,32.8986536,-96.83945355,FALSE,TRUE
John J Pershing Elem School,"Auditorium, Rm 136",5715 Meaders Ln,Dallas,TX,75229,32.8874133,-96.80976733,FALSE,TRUE
L G Cigarroa Elem School,Auditorium,9990 Webb Chapel Rd,Dallas,TX,75220,32.8799331,-96.86481578,FALSE,TRUE
Walnut Hill Rec Center,Small Rm A,10011 Midway Rd,Dallas,TX,75229,32.989395,-96.843109,FALSE,TRUE
Lovers Lane United Methodist Church,Watson Hall,9200 Inwood Rd,Dallas,TX,75220,32.86704705,-96.8205421,FALSE,TRUE
Unity Church Of Dallas,1St Fl Assembly,6525 Forest Ln,Dallas,TX,75230,32.9101296,-96.79363662,FALSE,TRUE
Preston Royal Branch Library,Auditorium,5626 Royal Ln,Dallas,TX,75229,32.8950978,-96.8752267,FALSE,TRUE
George B Dealey Montessori Academy,Auditorium Foyer,6501 Royal Ln,Dallas,TX,75230,32.895464,-96.7915002,FALSE,TRUE
Arthur Kramer Elem School,Foyer,7131 Midbury Dr,Dallas,TX,75230,32.90227355,-96.78384546,FALSE,TRUE
Hillcrest High School,Auditorium,9924 Hillcrest Rd,Dallas,TX,75230,32.88324075,-96.78471237,FALSE,TRUE
Benjamin Franklin - IEA,Rm 109,6920 Meadow Rd,Dallas,TX,75230,32.88443335,-96.78520945,FALSE,TRUE
Preston Hollow Un Methodist Church,Parlor,6315 Walnut Hill Ln,Dallas,TX,75230,32.88068695,-96.79717517,FALSE,TRUE
Our Redeemer Lutheran Church,Parlor,7611 Park Ln,Dallas,TX,75225,32.8727429,-96.77525579,FALSE,TRUE
Westminister Presbyterian Church,Fellowship Hall,8200 Devonshire Dr,Dallas,TX,75209,32.85432,-96.815216,FALSE,TRUE
The Museum Of Biblical Art,Library,7500 Park Ln,Dallas,TX,75225,32.8720263,-96.77937386,FALSE,TRUE
